"iso3","year","gov_score"
CHE,2020-01-01 00:00:00.000,9.726775956284154
CHE,2021-01-01 00:00:00.000,9.726775956284154
CHL,2012-01-01 00:00:00.000,7.73469387755102
CHL,2013-01-01 00:00:00.000,7.750511247443764
CHL,2014-01-01 00:00:00.000,7.8986272439281935
CHL,2015-01-01 00:00:00.000,7.982740021574973
CHL,2016-01-01 00:00:00.000,7.948442534908702
CHL,2017-01-01 00:00:00.000,7.89010989010989
CHL,2018-01-01 00:00:00.000,8.00441014332966
CHL,2019-01-01 00:00:00.000,7.803030303030303
CHL,2020-01-01 00:00:00.000,7.879781420765028
CHL,2021-01-01 00:00:00.000,7.879781420765028
CHN,2012-01-01 00:00:00.000,3.7244897959183674
CHN,2013-01-01 00:00:00.000,3.7934560327198366
CHN,2014-01-01 00:00:00.000,3.8648363252375924
CHN,2015-01-01 00:00:00.000,3.7756202804746497
CHN,2016-01-01 00:00:00.000,3.963480128893664
CHN,2017-01-01 00:00:00.000,4.087912087912087
CHN,2018-01-01 00:00:00.000,4.321940463065049
CHN,2019-01-01 00:00:00.000,4.3181818181818175
CHN,2020-01-01 00:00:00.000,4.622950819672132
CHN,2021-01-01 00:00:00.000,4.622950819672132
CIV,2012-01-01 00:00:00.000,2.561224489795918
CIV,2013-01-01 00:00:00.000,2.7914110429447856
CIV,2014-01-01 00:00:00.000,3.2629355860612455
CIV,2015-01-01 00:00:00.000,3.3980582524271847
CIV,2016-01-01 00:00:00.000,3.555316863587541
CIV,2017-01-01 00:00:00.000,3.6043956043956045
CIV,2018-01-01 00:00:00.000,3.9250275633958105
CIV,2019-01-01 00:00:00.000,3.831168831168832
CIV,2020-01-01 00:00:00.000,3.683060109289618
CIV,2021-01-01 00:00:00.000,3.683060109289618
CMR,2012-01-01 00:00:00.000,2.622448979591837
CMR,2013-01-01 00:00:00.000,2.6584867075664627
CMR,2014-01-01 00:00:00.000,2.6187961985216472
CMR,2015-01-01 00:00:00.000,2.545846817691478
CMR,2016-01-01 00:00:00.000,2.459720730397423
CMR,2017-01-01 00:00:00.000,2.3516483516483513
CMR,2018-01-01 00:00:00.000,2.4035281146637266
CMR,2019-01-01 00:00:00.000,2.326839826839827
CMR,2020-01-01 00:00:00.000,2.4480874316939896
CMR,2021-01-01 00:00:00.000,2.4480874316939896
COD,2012-01-01 00:00:00.000,1.2346938775510203
COD,2013-01-01 00:00:00.000,1.1758691206543967
COD,2014-01-01 00:00:00.000,1.2671594508975712
COD,2015-01-01 00:00:00.000,1.0787486515641858
COD,2016-01-01 00:00:00.000,0.9774436090225566
COD,2017-01-01 00:00:00.000,0.7692307692307693
COD,2018-01-01 00:00:00.000,0.9151047409040793
COD,2019-01-01 00:00:00.000,1.2878787878787878
COD,2020-01-01 00:00:00.000,1.2459016393442623
COD,2021-01-01 00:00:00.000,1.2459016393442623
COG,2012-01-01 00:00:00.000,2.5510204081632657
COG,2013-01-01 00:00:00.000,2.5766871165644174
COG,2014-01-01 00:00:00.000,2.5765575501583946
COG,2015-01-01 00:00:00.000,2.3840345199568502
COG,2016-01-01 00:00:00.000,2.3308270676691736
COG,2017-01-01 00:00:00.000,2.1538461538461533
COG,2018-01-01 00:00:00.000,2.282249173098126
COG,2019-01-01 00:00:00.000,1.9480519480519478
COG,2020-01-01 00:00:00.000,1.9344262295081966
COG,2021-01-01 00:00:00.000,1.9344262295081966
COL,2012-01-01 00:00:00.000,4.377551020408163
COL,2013-01-01 00:00:00.000,4.376278118609408
COL,2014-01-01 00:00:00.000,4.561774023231257
COL,2015-01-01 00:00:00.000,4.627831715210356
COL,2016-01-01 00:00:00.000,4.8120300751879705
COL,2017-01-01 00:00:00.000,4.813186813186812
COL,2018-01-01 00:00:00.000,4.994487320837928
COL,2019-01-01 00:00:00.000,4.9891774891774885
COL,2020-01-01 00:00:00.000,5.158469945355192
COL,2021-01-01 00:00:00.000,5.158469945355192
COM,2012-01-01 00:00:00.000,3.2040816326530615
COM,2013-01-01 00:00:00.000,3.312883435582822
COM,2014-01-01 00:00:00.000,3.495248152059134
COM,2015-01-01 00:00:00.000,3.3117583603020497
COM,2016-01-01 00:00:00.000,3.404940923737917
COM,2017-01-01 00:00:00.000,3.2417582417582413
COM,2018-01-01 00:00:00.000,2.9878721058434397
COM,2019-01-01 00:00:00.000,2.878787878787879
COM,2020-01-01 00:00:00.000,2.6120218579234975
COM,2021-01-01 00:00:00.000,2.6120218579234975
CPV,2012-01-01 00:00:00.000,6.6938775510204085
CPV,2013-01-01 00:00:00.000,6.666666666666667
CPV,2014-01-01 00:00:00.000,6.684266103484688
CPV,2015-01-01 00:00:00.000,6.871628910463862
CPV,2016-01-01 00:00:00.000,6.917293233082708
CPV,2017-01-01 00:00:00.000,6.956043956043955
CPV,2018-01-01 00:00:00.000,7.133406835722161
CPV,2019-01-01 00:00:00.000,7.2727272727272725
CPV,2020-01-01 00:00:00.000,7.256830601092897
CPV,2021-01-01 00:00:00.000,7.256830601092897
CRI,2012-01-01 00:00:00.000,6.826530612244897
CRI,2013-01-01 00:00:00.000,6.779141104294479
CRI,2014-01-01 00:00:00.000,7.043294614572334
CRI,2015-01-01 00:00:00.000,7.119741100323624
CRI,2016-01-01 00:00:00.000,7.218045112781956
CRI,2017-01-01 00:00:00.000,7.142857142857142
CRI,2018-01-01 00:00:00.000,7.2546857772877615
CRI,2019-01-01 00:00:00.000,7.510822510822511
CRI,2020-01-01 00:00:00.000,7.6830601092896185
CRI,2021-01-01 00:00:00.000,7.6830601092896185
CUB,2012-01-01 00:00:00.000,4.010204081632653
CUB,2013-01-01 00:00:00.000,4.100204498977505
CUB,2014-01-01 00:00:00.000,4.139387539598733
CUB,2015-01-01 00:00:00.000,4.163969795037756
CUB,2016-01-01 00:00:00.000,4.479054779806661
CUB,2017-01-01 00:00:00.000,4.747252747252746
CUB,2018-01-01 00:00:00.000,4.972436604189635
CUB,2019-01-01 00:00:00.000,5.086580086580086
CUB,2020-01-01 00:00:00.000,5.12568306010929
CUB,2021-01-01 00:00:00.000,5.12568306010929
CYP,2012-01-01 00:00:00.000,7.673469387755102
CYP,2013-01-01 00:00:00.000,7.627811860940696
CYP,2014-01-01 00:00:00.000,7.729672650475185
CYP,2015-01-01 00:00:00.000,7.659115426105718
CYP,2016-01-01 00:00:00.000,7.5295381310418925
CYP,2017-01-01 00:00:00.000,7.637362637362636
CYP,2018-01-01 00:00:00.000,7.629547960308711
CYP,2019-01-01 00:00:00.000,7.705627705627705
CYP,2020-01-01 00:00:00.000,7.344262295081968
CYP,2021-01-01 00:00:00.000,7.344262295081968
CZE,2012-01-01 00:00:00.000,7.6020408163265305
CZE,2013-01-01 00:00:00.000,7.586912065439673
CZE,2014-01-01 00:00:00.000,7.750791974656811
CZE,2015-01-01 00:00:00.000,7.73462783171521
CZE,2016-01-01 00:00:00.000,7.7336197636949535
CZE,2017-01-01 00:00:00.000,7.7362637362637345
CZE,2018-01-01 00:00:00.000,7.794928335170894
CZE,2019-01-01 00:00:00.000,7.770562770562771
CZE,2020-01-01 00:00:00.000,7.836065573770492
CZE,2021-01-01 00:00:00.000,7.836065573770492
DEU,2012-01-01 00:00:00.000,8.948979591836734
DEU,2013-01-01 00:00:00.000,8.997955010224949
DEU,2014-01-01 00:00:00.000,9.250263991552268
DEU,2015-01-01 00:00:00.000,9.093851132686083
DEU,2016-01-01 00:00:00.000,8.893662728249195
DEU,2017-01-01 00:00:00.000,8.890109890109889
DEU,2018-01-01 00:00:00.000,9.128996692392503
DEU,2019-01-01 00:00:00.000,9.058441558441558
DEU,2020-01-01 00:00:00.000,9.027322404371587
DEU,2021-01-01 00:00:00.000,9.027322404371587
DJI,2012-01-01 00:00:00.000,3.3367346938775513
DJI,2013-01-01 00:00:00.000,3.179959100204499
DJI,2014-01-01 00:00:00.000,2.829989440337909
DJI,2015-01-01 00:00:00.000,2.912621359223301
DJI,2016-01-01 00:00:00.000,2.9967776584317947
DJI,2017-01-01 00:00:00.000,3.4065934065934065
DJI,2018-01-01 00:00:00.000,3.8257993384785
DJI,2019-01-01 00:00:00.000,3.647186147186147
DJI,2020-01-01 00:00:00.000,3.6612021857923502
DJI,2021-01-01 00:00:00.000,3.6612021857923502
DMA,2012-01-01 00:00:00.000,7.051020408163265
DMA,2013-01-01 00:00:00.000,7.106339468302659
DMA,2014-01-01 00:00:00.000,7.23336853220697
DMA,2015-01-01 00:00:00.000,7.292340884573894
DMA,2016-01-01 00:00:00.000,7.2932330827067675
DMA,2017-01-01 00:00:00.000,7.384615384615384
DMA,2018-01-01 00:00:00.000,7.364939360529219
DMA,2019-01-01 00:00:00.000,7.402597402597402
DMA,2020-01-01 00:00:00.000,7.551912568306012
DMA,2021-01-01 00:00:00.000,7.551912568306012
DNK,2012-01-01 00:00:00.000,9.755102040816325
DNK,2013-01-01 00:00:00.000,9.795501022494888
DNK,2014-01-01 00:00:00.000,9.873284054910242
DNK,2015-01-01 00:00:00.000,9.795037756202806
DNK,2016-01-01 00:00:00.000,9.731471535982815
DNK,2017-01-01 00:00:00.000,9.68131868131868
DNK,2018-01-01 00:00:00.000,9.834619625137819
DNK,2019-01-01 00:00:00.000,9.848484848484848
DNK,2020-01-01 00:00:00.000,9.759562841530057
DNK,2021-01-01 00:00:00.000,9.759562841530057
DOM,2012-01-01 00:00:00.000,4.724489795918368
DOM,2013-01-01 00:00:00.000,4.785276073619632
DOM,2014-01-01 00:00:00.000,4.963041182682154
DOM,2015-01-01 00:00:00.000,4.897518878101403
DOM,2016-01-01 00:00:00.000,5.241675617615469
DOM,2017-01-01 00:00:00.000,5.175824175824175
DOM,2018-01-01 00:00:00.000,5.358324145534731
DOM,2019-01-01 00:00:00.000,5.411255411255411
DOM,2020-01-01 00:00:00.000,5.617486338797814
DOM,2021-01-01 00:00:00.000,5.617486338797814
DZA,2012-01-01 00:00:00.000,3.0714285714285716
DZA,2013-01-01 00:00:00.000,3.2208588957055215
DZA,2014-01-01 00:00:00.000,3.2629355860612455
DZA,2015-01-01 00:00:00.000,3.279395900755124
DZA,2016-01-01 00:00:00.000,3.361976369495167
DZA,2017-01-01 00:00:00.000,3.472527472527472
DZA,2018-01-01 00:00:00.000,3.6163175303197357
DZA,2019-01-01 00:00:00.000,3.668831168831169
DZA,2020-01-01 00:00:00.000,3.825136612021858
DZA,2021-01-01 00:00:00.000,3.825136612021858
ECU,2012-01-01 00:00:00.000,3.8979591836734695
ECU,2013-01-01 00:00:00.000,4.243353783231084
ECU,2014-01-01 00:00:00.000,4.308342133051742
ECU,2015-01-01 00:00:00.000,4.228694714131608
ECU,2016-01-01 00:00:00.000,4.479054779806661
ECU,2017-01-01 00:00:00.000,4.483516483516483
ECU,2018-01-01 00:00:00.000,4.829106945975743
ECU,2019-01-01 00:00:00.000,4.956709956709956
ECU,2020-01-01 00:00:00.000,4.907103825136613
ECU,2021-01-01 00:00:00.000,4.907103825136613
EGY,2012-01-01 00:00:00.000,3.3571428571428577
EGY,2013-01-01 00:00:00.000,3.016359918200409
EGY,2014-01-01 00:00:00.000,2.9778247096092922
