"iso3","year","soc_score"
BLZ,2016-01-01 00:00:00.000,7.842377260981914
BLZ,2017-01-01 00:00:00.000,8.002610966057443
BLZ,2018-01-01 00:00:00.000,7.965879265091863
BLZ,2019-01-01 00:00:00.000,8.087818696883854
BLZ,2020-01-01 00:00:00.000,8.19464033850494
BLZ,2021-01-01 00:00:00.000,8.052287581699346
BOL,2012-01-01 00:00:00.000,5.891364902506963
BOL,2013-01-01 00:00:00.000,5.656167979002625
BOL,2014-01-01 00:00:00.000,5.80814717477004
BOL,2015-01-01 00:00:00.000,5.729303547963207
BOL,2016-01-01 00:00:00.000,5.723514211886306
BOL,2017-01-01 00:00:00.000,5.783289817232376
BOL,2018-01-01 00:00:00.000,5.958005249343832
BOL,2019-01-01 00:00:00.000,5.835694050991503
BOL,2020-01-01 00:00:00.000,5.853314527503527
BOL,2021-01-01 00:00:00.000,5.80392156862745
BRA,2012-01-01 00:00:00.000,7.5766016713091915
BRA,2013-01-01 00:00:00.000,7.585301837270341
BRA,2014-01-01 00:00:00.000,7.6215505913272015
BRA,2015-01-01 00:00:00.000,7.503285151116952
BRA,2016-01-01 00:00:00.000,7.183462532299744
BRA,2017-01-01 00:00:00.000,7.154046997389036
BRA,2018-01-01 00:00:00.000,7.191601049868766
BRA,2019-01-01 00:00:00.000,7.76203966005666
BRA,2020-01-01 00:00:00.000,7.827926657263753
BRA,2021-01-01 00:00:00.000,7.215686274509803
BRB,2012-01-01 00:00:00.000,7.66016713091922
BRB,2013-01-01 00:00:00.000,7.467191601049869
BRB,2014-01-01 00:00:00.000,7.6478318002628125
BRB,2015-01-01 00:00:00.000,7.923784494086727
BRB,2016-01-01 00:00:00.000,7.635658914728683
BRB,2017-01-01 00:00:00.000,7.571801566579635
BRB,2018-01-01 00:00:00.000,7.939632545931759
BRB,2019-01-01 00:00:00.000,7.74787535410765
BRB,2020-01-01 00:00:00.000,8.208744710860369
BRB,2021-01-01 00:00:00.000,7.895424836601306
BRN,2012-01-01 00:00:00.000,7.35376044568245
BRN,2013-01-01 00:00:00.000,7.230971128608925
BRN,2014-01-01 00:00:00.000,7.253613666228647
BRN,2015-01-01 00:00:00.000,7.174770039421814
BRN,2016-01-01 00:00:00.000,7.222222222222223
BRN,2017-01-01 00:00:00.000,7.140992167101828
BRN,2018-01-01 00:00:00.000,7.257217847769028
BRN,2019-01-01 00:00:00.000,7.56373937677054
BRN,2020-01-01 00:00:00.000,7.55994358251058
BRN,2021-01-01 00:00:00.000,7.450980392156863
BTN,2012-01-01 00:00:00.000,7.172701949860723
BTN,2013-01-01 00:00:00.000,6.902887139107612
BTN,2014-01-01 00:00:00.000,7.201051248357425
BTN,2015-01-01 00:00:00.000,8.134034165571615
BTN,2016-01-01 00:00:00.000,8.204134366925066
BTN,2017-01-01 00:00:00.000,8.04177545691906
BTN,2018-01-01 00:00:00.000,7.965879265091863
BTN,2019-01-01 00:00:00.000,7.592067988668557
BTN,2020-01-01 00:00:00.000,7.193229901269393
BTN,2021-01-01 00:00:00.000,7.38562091503268
BWA,2012-01-01 00:00:00.000,3.9136490250696365
BWA,2013-01-01 00:00:00.000,4.1732283464566935
BWA,2014-01-01 00:00:00.000,4.152431011826543
BWA,2015-01-01 00:00:00.000,4.16557161629435
BWA,2016-01-01 00:00:00.000,4.121447028423774
BWA,2017-01-01 00:00:00.000,4.699738903394257
BWA,2018-01-01 00:00:00.000,4.081364829396326
BWA,2019-01-01 00:00:00.000,5.254957507082155
BWA,2020-01-01 00:00:00.000,5.48660084626234
BWA,2021-01-01 00:00:00.000,4.326797385620916
CAF,2012-01-01 00:00:00.000,0.33426183844011126
CAF,2013-01-01 00:00:00.000,0.5774278215223099
CAF,2014-01-01 00:00:00.000,0.6176084099868597
CAF,2015-01-01 00:00:00.000,0.6701708278580818
CAF,2016-01-01 00:00:00.000,0.6847545219638249
CAF,2017-01-01 00:00:00.000,0.8485639686684072
CAF,2018-01-01 00:00:00.000,0.8923884514435696
CAF,2019-01-01 00:00:00.000,0.4674220963172808
CAF,2020-01-01 00:00:00.000,0.535966149506347
CAF,2021-01-01 00:00:00.000,0.9673202614379082
CAN,2012-01-01 00:00:00.000,7.284122562674094
CAN,2013-01-01 00:00:00.000,6.994750656167978
CAN,2014-01-01 00:00:00.000,7.082785808147175
CAN,2015-01-01 00:00:00.000,7.017082785808148
CAN,2016-01-01 00:00:00.000,7.002583979328167
CAN,2017-01-01 00:00:00.000,7.140992167101828
CAN,2018-01-01 00:00:00.000,7.322834645669292
CAN,2019-01-01 00:00:00.000,7.422096317280454
CAN,2020-01-01 00:00:00.000,7.3342736248236955
CAN,2021-01-01 00:00:00.000,7.267973856209149
CHE,2012-01-01 00:00:00.000,8.732590529247911
CHE,2013-01-01 00:00:00.000,8.622047244094489
CHE,2014-01-01 00:00:00.000,8.685939553219448
CHE,2015-01-01 00:00:00.000,8.62023653088042
CHE,2016-01-01 00:00:00.000,8.708010335917313
CHE,2017-01-01 00:00:00.000,8.733681462140995
CHE,2018-01-01 00:00:00.000,8.805774278215225
CHE,2019-01-01 00:00:00.000,8.852691218130314
CHE,2020-01-01 00:00:00.000,8.758815232722146
CHE,2021-01-01 00:00:00.000,8.732026143790849
CHL,2012-01-01 00:00:00.000,8.495821727019498
CHL,2013-01-01 00:00:00.000,8.569553805774278
CHL,2014-01-01 00:00:00.000,8.567674113009199
CHL,2015-01-01 00:00:00.000,8.515111695137977
CHL,2016-01-01 00:00:00.000,8.68217054263566
CHL,2017-01-01 00:00:00.000,8.681462140992167
CHL,2018-01-01 00:00:00.000,8.661417322834644
CHL,2019-01-01 00:00:00.000,8.88101983002833
CHL,2020-01-01 00:00:00.000,8.871650211565584
CHL,2021-01-01 00:00:00.000,8.588235294117647
CHN,2012-01-01 00:00:00.000,7.869080779944287
CHN,2013-01-01 00:00:00.000,7.742782152230971
CHN,2014-01-01 00:00:00.000,7.739816031537451
CHN,2015-01-01 00:00:00.000,7.6741130091984235
CHN,2016-01-01 00:00:00.000,7.751937984496125
CHN,2017-01-01 00:00:00.000,7.793733681462141
CHN,2018-01-01 00:00:00.000,7.834645669291338
CHN,2019-01-01 00:00:00.000,7.7903682719546765
CHN,2020-01-01 00:00:00.000,7.785613540197461
CHN,2021-01-01 00:00:00.000,7.8692810457516345
CIV,2012-01-01 00:00:00.000,3.5654596100278546
CIV,2013-01-01 00:00:00.000,4.383202099737534
CIV,2014-01-01 00:00:00.000,4.467805519053876
CIV,2015-01-01 00:00:00.000,4.507227332457294
CIV,2016-01-01 00:00:00.000,4.75452196382429
CIV,2017-01-01 00:00:00.000,4.516971279373369
CIV,2018-01-01 00:00:00.000,4.330708661417322
CIV,2019-01-01 00:00:00.000,3.8385269121813046
CIV,2020-01-01 00:00:00.000,3.681241184767279
CIV,2021-01-01 00:00:00.000,4.143790849673202
CMR,2012-01-01 00:00:00.000,3.5376044568245124
CMR,2013-01-01 00:00:00.000,3.6876640419947506
CMR,2014-01-01 00:00:00.000,3.6662286465177396
CMR,2015-01-01 00:00:00.000,3.7844940867279897
CMR,2016-01-01 00:00:00.000,3.8501291989664095
CMR,2017-01-01 00:00:00.000,4.1775456919060066
CMR,2018-01-01 00:00:00.000,4.291338582677166
CMR,2019-01-01 00:00:00.000,3.682719546742211
CMR,2020-01-01 00:00:00.000,3.751763046544429
CMR,2021-01-01 00:00:00.000,4.235294117647058
COD,2012-01-01 00:00:00.000,2.465181058495822
COD,2013-01-01 00:00:00.000,2.742782152230972
COD,2014-01-01 00:00:00.000,2.181340341655716
COD,2015-01-01 00:00:00.000,2.3784494086727994
COD,2016-01-01 00:00:00.000,2.7260981912144713
COD,2017-01-01 00:00:00.000,2.6762402088772856
COD,2018-01-01 00:00:00.000,2.6771653543307083
COD,2019-01-01 00:00:00.000,2.209631728045326
COD,2020-01-01 00:00:00.000,2.2143864598025393
COD,2021-01-01 00:00:00.000,2.65359477124183
COG,2012-01-01 00:00:00.000,2.2423398328690807
COG,2013-01-01 00:00:00.000,2.270341207349081
COG,2014-01-01 00:00:00.000,2.299605781865966
COG,2015-01-01 00:00:00.000,2.4047306176084104
COG,2016-01-01 00:00:00.000,2.790697674418605
COG,2017-01-01 00:00:00.000,3.2245430809399482
COG,2018-01-01 00:00:00.000,3.2020997375328086
COG,2019-01-01 00:00:00.000,4.135977337110483
COG,2020-01-01 00:00:00.000,4.51339915373766
COG,2021-01-01 00:00:00.000,3.5032679738562096
COL,2012-01-01 00:00:00.000,7.35376044568245
COL,2013-01-01 00:00:00.000,7.545931758530184
COL,2014-01-01 00:00:00.000,7.463863337713535
COL,2015-01-01 00:00:00.000,7.411300919842313
COL,2016-01-01 00:00:00.000,7.493540051679588
COL,2017-01-01 00:00:00.000,7.5456919060052225
COL,2018-01-01 00:00:00.000,7.335958005249343
COL,2019-01-01 00:00:00.000,7.7903682719546765
COL,2020-01-01 00:00:00.000,7.81382228490832
COL,2021-01-01 00:00:00.000,7.215686274509803
COM,2012-01-01 00:00:00.000,4.805013927576601
COM,2013-01-01 00:00:00.000,4.7506561679790025
COM,2014-01-01 00:00:00.000,5.019710906701707
COM,2015-01-01 00:00:00.000,4.572930354796322
COM,2016-01-01 00:00:00.000,4.664082687338503
COM,2017-01-01 00:00:00.000,4.712793733681464
COM,2018-01-01 00:00:00.000,4.803149606299213
COM,2019-01-01 00:00:00.000,4.900849858356942
COM,2020-01-01 00:00:00.000,5.007052186177716
COM,2021-01-01 00:00:00.000,4.954248366013072
CPV,2012-01-01 00:00:00.000,6.337047353760445
CPV,2013-01-01 00:00:00.000,6.377952755905513
CPV,2014-01-01 00:00:00.000,6.530880420499344
CPV,2015-01-01 00:00:00.000,6.557161629434955
CPV,2016-01-01 00:00:00.000,6.731266149870802
CPV,2017-01-01 00:00:00.000,6.631853785900784
CPV,2018-01-01 00:00:00.000,6.797900262467192
CPV,2019-01-01 00:00:00.000,7.152974504249293
CPV,2020-01-01 00:00:00.000,7.461212976022568
CPV,2021-01-01 00:00:00.000,6.6535947712418295
CRI,2012-01-01 00:00:00.000,8.467966573816154
CRI,2013-01-01 00:00:00.000,8.608923884514436
CRI,2014-01-01 00:00:00.000,8.59395532194481
CRI,2015-01-01 00:00:00.000,8.593955321944811
CRI,2016-01-01 00:00:00.000,8.669250645994834
CRI,2017-01-01 00:00:00.000,9.33420365535248
CRI,2018-01-01 00:00:00.000,8.792650918635172
CRI,2019-01-01 00:00:00.000,9.022662889518415
CRI,2020-01-01 00:00:00.000,8.815232722143865
CRI,2021-01-01 00:00:00.000,7.882352941176469
CUB,2012-01-01 00:00:00.000,7.311977715877436
CUB,2013-01-01 00:00:00.000,7.034120734908138
CUB,2014-01-01 00:00:00.000,7.174770039421814
CUB,2015-01-01 00:00:00.000,7.135348226018397
CUB,2016-01-01 00:00:00.000,7.19638242894057
CUB,2017-01-01 00:00:00.000,7.297650130548304
CUB,2018-01-01 00:00:00.000,7.440944881889764
CUB,2019-01-01 00:00:00.000,7.1954674220963195
CUB,2020-01-01 00:00:00.000,7.136812411847672
CUB,2021-01-01 00:00:00.000,7.398692810457515
CYP,2012-01-01 00:00:00.000,7.855153203342617
CYP,2013-01-01 00:00:00.000,7.440944881889765
CYP,2014-01-01 00:00:00.000,7.463863337713535
CYP,2015-01-01 00:00:00.000,7.542706964520368
CYP,2016-01-01 00:00:00.000,7.790697674418606
CYP,2017-01-01 00:00:00.000,7.950391644908617
CYP,2018-01-01 00:00:00.000,8.241469816272964
CYP,2019-01-01 00:00:00.000,8.583569405099151
CYP,2020-01-01 00:00:00.000,8.603667136812412
CYP,2021-01-01 00:00:00.000,8.535947712418299
CZE,2012-01-01 00:00:00.000,7.701949860724234
CZE,2013-01-01 00:00:00.000,7.559055118110237
CZE,2014-01-01 00:00:00.000,7.700394218134035
CZE,2015-01-01 00:00:00.000,8.134034165571615
CZE,2016-01-01 00:00:00.000,8.333333333333336
CZE,2017-01-01 00:00:00.000,8.054830287206268
CZE,2018-01-01 00:00:00.000,8.26771653543307
CZE,2019-01-01 00:00:00.000,8.087818696883854
CZE,2020-01-01 00:00:00.000,7.940761636107195
CZE,2021-01-01 00:00:00.000,8.143790849673202
DEU,2012-01-01 00:00:00.000,8.147632311977716
DEU,2013-01-01 00:00:00.000,8.005249343832022
DEU,2014-01-01 00:00:00.000,8.120893561103811
DEU,2015-01-01 00:00:00.000,8.055190538764784
DEU,2016-01-01 00:00:00.000,8.178294573643413
DEU,2017-01-01 00:00:00.000,8.237597911227155
DEU,2018-01-01 00:00:00.000,8.346456692913385
DEU,2019-01-01 00:00:00.000,8.300283286118983
DEU,2020-01-01 00:00:00.000,8.222849083215799
DEU,2021-01-01 00:00:00.000,8.352941176470589
DJI,2012-01-01 00:00:00.000,1.8941504178272979
DJI,2013-01-01 00:00:00.000,2.0209973753280845
DJI,2014-01-01 00:00:00.000,2.049934296977661
DJI,2015-01-01 00:00:00.000,2.089356110381078
DJI,2016-01-01 00:00:00.000,2.5064599483204137
DJI,2017-01-01 00:00:00.000,2.7284595300261105
DJI,2018-01-01 00:00:00.000,2.821522309711286
DJI,2019-01-01 00:00:00.000,4.291784702549576
DJI,2020-01-01 00:00:00.000,4.541607898448519
DJI,2021-01-01 00:00:00.000,3.1895424836601305
DMA,2012-01-01 00:00:00.000,2.646239554317548
DMA,2013-01-01 00:00:00.000,2.8871391076115485
DMA,2014-01-01 00:00:00.000,2.9566360052562426
DMA,2015-01-01 00:00:00.000,2.9172141918528265
DMA,2016-01-01 00:00:00.000,3.2170542635658927
DMA,2017-01-01 00:00:00.000,2.885117493472585
DMA,2018-01-01 00:00:00.000,2.7952755905511815
DMA,2019-01-01 00:00:00.000,1.9688385269121822
DMA,2020-01-01 00:00:00.000,2.101551480959098
DMA,2021-01-01 00:00:00.000,2.7320261437908493
DNK,2012-01-01 00:00:00.000,7.994428969359332
DNK,2013-01-01 00:00:00.000,8.202099737532809
DNK,2014-01-01 00:00:00.000,8.160315374507228
DNK,2015-01-01 00:00:00.000,8.21287779237845
DNK,2016-01-01 00:00:00.000,8.333333333333336
DNK,2017-01-01 00:00:00.000,8.43342036553525
DNK,2018-01-01 00:00:00.000,8.517060367454068
DNK,2019-01-01 00:00:00.000,8.61189801699717
DNK,2020-01-01 00:00:00.000,8.603667136812412
DNK,2021-01-01 00:00:00.000,8.627450980392156
DOM,2012-01-01 00:00:00.000,7.200557103064066
DOM,2013-01-01 00:00:00.000,8.044619422572179
DOM,2014-01-01 00:00:00.000,6.872536136662287
DOM,2015-01-01 00:00:00.000,7.634691195795007
DOM,2016-01-01 00:00:00.000,7.622739018087858
DOM,2017-01-01 00:00:00.000,7.80678851174935
DOM,2018-01-01 00:00:00.000,7.716535433070866
DOM,2019-01-01 00:00:00.000,7.7195467422096335
DOM,2020-01-01 00:00:00.000,7.517630465444289
DOM,2021-01-01 00:00:00.000,7.22875816993464
DZA,2012-01-01 00:00:00.000,7.172701949860723
DZA,2013-01-01 00:00:00.000,7.283464566929135
DZA,2014-01-01 00:00:00.000,7.2404730617608415
DZA,2015-01-01 00:00:00.000,7.122207621550592
DZA,2016-01-01 00:00:00.000,7.248062015503878
DZA,2017-01-01 00:00:00.000,7.375979112271542
DZA,2018-01-01 00:00:00.000,7.073490813648294
DZA,2019-01-01 00:00:00.000,7.521246458923516
DZA,2020-01-01 00:00:00.000,7.757404795486601
DZA,2021-01-01 00:00:00.000,7.254901960784313
ECU,2012-01-01 00:00:00.000,7.646239554317548
ECU,2013-01-01 00:00:00.000,7.598425196850394
ECU,2014-01-01 00:00:00.000,7.687253613666229
ECU,2015-01-01 00:00:00.000,7.700394218134035
ECU,2016-01-01 00:00:00.000,7.635658914728683
ECU,2017-01-01 00:00:00.000,7.728459530026111
ECU,2018-01-01 00:00:00.000,7.795275590551181
ECU,2019-01-01 00:00:00.000,7.6628895184136
ECU,2020-01-01 00:00:00.000,7.6163610719323005
ECU,2021-01-01 00:00:00.000,7.5816993464052285
EGY,2012-01-01 00:00:00.000,5.543175487465179
EGY,2013-01-01 00:00:00.000,5.2493438320209975
EGY,2014-01-01 00:00:00.000,5.295663600525623
EGY,2015-01-01 00:00:00.000,5.216819973718792
