"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
BHS,2021-01-01 00:00:00.000,2.0,867.0,2.0,19.0,1.0,0.0,2.0,891.0,
BHR,2012-01-01 00:00:00.000,114.0,326.0,367.0,541.0,5333.0,7.0,1381.0,8062.0,
BHR,2013-01-01 00:00:00.000,124.0,335.0,335.0,552.0,6423.0,7.0,1394.0,9163.0,
BHR,2014-01-01 00:00:00.000,133.0,345.0,378.0,580.0,7495.0,7.0,1521.0,10452.0,
BHR,2015-01-01 00:00:00.000,103.25,62.0,143.0,146.0,9312.0,7.0,1156.75,9670.0,
BHR,2016-01-01 00:00:00.000,73.5,55.0,112.0,162.0,9823.0,6.0,792.5,10158.0,
BHR,2017-01-01 00:00:00.000,43.75,49.0,75.0,204.0,11032.0,15.0,428.25,11374.0,
BHR,2018-01-01 00:00:00.000,14.0,51.0,14.0,180.0,11722.0,15.0,64.0,12045.0,
BHR,2019-01-01 00:00:00.000,8.0,61.0,6.0,186.0,10770.0,15.0,30.0,11061.0,
BHR,2020-01-01 00:00:00.000,2.0,33.0,8.0,66.0,1800.0,15.0,25.0,1909.0,
BHR,2021-01-01 00:00:00.000,5.0,15.0,3.0,26.0,3543.0,15.0,20.0,3612.0,
BGD,2012-01-01 00:00:00.000,,7.0,14.0,5.0,0.0,20.0,114.0,160.0,
BGD,2013-01-01 00:00:00.000,,5.0,12.0,4.0,0.0,12.0,71.0,104.0,
BGD,2014-01-01 00:00:00.000,,6.0,16.0,4.0,1.0,15.0,93.0,134.0,
BGD,2015-01-01 00:00:00.000,,4.0,9.0,3.0,1.0,9.0,101.0,126.0,
BGD,2016-01-01 00:00:00.000,,5.0,12.0,4.0,2.0,13.0,147.0,182.0,
BGD,2017-01-01 00:00:00.000,,7.0,15.0,5.0,2.0,17.0,192.0,237.0,
BGD,2018-01-01 00:00:00.000,,9.0,17.0,5.0,2.0,19.0,217.0,267.0,
BGD,2019-01-01 00:00:00.000,,9.0,17.0,4.0,2.0,19.0,273.0,323.0,
BGD,2020-01-01 00:00:00.000,,26.0,9.0,37.0,2.0,27.0,83.0,182.0,
BGD,2021-01-01 00:00:00.000,,52.0,6.0,42.0,2.0,25.0,10.0,135.0,
BRB,2012-01-01 00:00:00.000,1.0,318.0,4.0,210.0,,2.0,1.0,536.0,
BRB,2013-01-01 00:00:00.000,1.0,292.0,4.0,209.0,,2.0,1.0,509.0,
BRB,2014-01-01 00:00:00.000,2.0,281.0,4.0,231.0,,3.0,1.0,521.0,
BRB,2015-01-01 00:00:00.000,2.0,328.0,5.0,255.0,,2.0,1.0,592.0,
BRB,2016-01-01 00:00:00.000,2.0,365.0,5.0,258.0,,1.0,1.0,632.0,
BRB,2017-01-01 00:00:00.000,2.0,394.0,6.0,260.0,,1.5,2.0,664.0,
BRB,2018-01-01 00:00:00.000,2.0,409.0,6.0,260.0,,2.0,1.0,680.0,
BRB,2019-01-01 00:00:00.000,1.0,319.0,3.0,196.0,,1.0,1.0,523.0,
BRB,2020-01-01 00:00:00.000,1.0,110.0,2.0,92.0,,2.0,1.0,207.0,
BRB,2021-01-01 00:00:00.000,1.0,71.0,2.0,68.0,,3.0,1.0,144.0,
BLR,2012-01-01 00:00:00.000,2.0,11.0,14.0,5984.0,7.0,105.0,7.0,6130.0,
BLR,2013-01-01 00:00:00.000,2.0,11.0,18.0,6100.0,8.0,95.0,8.0,6242.0,
BLR,2014-01-01 00:00:00.000,3.0,11.0,17.0,5246.0,8.0,83.0,7.0,5375.0,
BLR,2015-01-01 00:00:00.000,2.0,12.0,22.0,4265.0,8.0,67.0,8.0,4386.0,
BLR,2016-01-01 00:00:00.000,2.0,13.0,24.0,10820.0,7.0,61.0,8.0,10935.0,
BLR,2017-01-01 00:00:00.000,2.0,19.0,26.0,10928.0,13.0,64.0,9.0,11060.0,
BLR,2018-01-01 00:00:00.000,4.0,36.0,46.0,11296.0,19.0,89.0,12.0,11502.0,
BLR,2019-01-01 00:00:00.000,4.0,35.0,64.0,11603.0,25.0,89.0,12.0,11832.0,
BLR,2020-01-01 00:00:00.000,3.0,10.0,22.0,3529.0,11.0,19.0,6.0,3598.0,
BLR,2021-01-01 00:00:00.000,3.0,10.0,22.0,3529.0,11.0,19.0,6.0,3361.0,
