Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Paraguay,PRY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27229417.5512612,26674282.9481666,28490405.0903549,29581729.4662816,30026478.2401282,30865045.6414029,31897733.2728808,32470601.1339482,31910742.363231,31225147.1166446,32093469.9299606
Peru,PER,GDP per capita (constant LCU),NY.GDP.PCAP.KN,13781.7981247601,14494.2842739777,15194.843444026,15395.2940096662,15710.7369227324,16111.0256170835,16269.8020210795,16601.2585290795,16652.164955093,14614.6394226698,16363.8230057649
Philippines,PHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,120568.943536279,126656.867553176,132945.129405929,139116.889047178,145498.484373181,153159.810769872,160916.425893034,168236.032835426,175598.925800751,156321.334819763,162785.392004584
Poland,POL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,42564.8305695348,43222.6548481361,43619.2021723547,45326.7655370111,47345.1138264914,48764.4128916534,51264.5140230531,54312.4049532913,56743.1594099639,55694.3217867879,59747.6512382771
Portugal,PRT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,17453.7689579789,16813.6464982267,16750.1920907845,16974.162253816,17350.0521718512,17756.3597215889,18423.8380435521,18979.1553179353,19483.6957795071,17847.6781915185,18774.9842205636
Puerto Rico,PRI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2878.49182816253,2914.38574016478,2938.92950248492,2951.76009102446,2972.62031445063,2992.42192967213,2977.18752612557,2965.00168788052,3014.34639636734,2805.94038527057,2827.22920568308
Qatar,QAT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,295047.656846275,292546.968556825,289103.128910278,279914.374216797,268919.059933164,257872.234801165,243089.426257166,241201.255452281,239563.069069743,234759.80682725,244895.25323688
Romania,ROU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,17109.1808384632,17516.3369691996,17628.9637756144,18424.2798186688,19096.131051389,19754.8129867492,21497.9185719941,22928.3397273386,23937.5813560106,23184.6147856893,24552.3245961795
Russian Federation,RUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,571838.625,593849.5625,602988.75,596685.9375,583655,583714.8125,593692.75,610408.3125,624105.75,608745.5625,640261.75
Rwanda,RWA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,502128.121841003,532264.411779194,544281.100947182,564271.333007461,599765.832723451,620237.335007194,629110.444117698,666652.090424622,712482.123139895,672244.534267351,727943.732706735
Samoa,WSM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,9742.17651043285,9294.65738628334,9220.16465021832,9197.38100784607,9466.40091172122,10124.0634608648,10163.2923951259,10001.5717616988,10338.1713503693,9875.88087228806,9015.35353165969
San Marino,SMR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,38005.8470533928,34649.2816612339,34219.6184467478,33873.4313696128,34462.8218021513,34995.5593827987,34857.2269777825,35274.3833574063,35979.8662965209,33756.8497661443,..
Sao Tome and Principe,STP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,16940.3130442261,17115.6225648154,17584.8119035699,18381.7906094776,18756.3080487659,19202.5347941671,19615.3406141245,19876.999110455,20008.2945400491,20232.3794564865,20199.7247957258
Saudi Arabia,SAU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,72262.8371530242,74515.9487959418,74920.7008420764,76102.6844017275,77717.5053200592,77440.0865924144,75119.489679351,75193.8425879775,73740.7605322493,70356.2728080651,72730.8480774882
Senegal,SEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,670996.55897694,679083.300590326,676859.066507419,699701.037371545,724246.928901217,749741.43675334,783585.59439359,809951.851757208,824768.001868159,813565.378453066,840376.209873719
