"iso3","year","gdp"
BFA,2021-01-01 00:00:00.000,733.972934218398
BDI,2021-01-01 00:00:00.000,238.205949387117
CPV,2021-01-01 00:00:00.000,3262.6470579856
KHM,2021-01-01 00:00:00.000,950.482544612158
CMR,2021-01-01 00:00:00.000,1433.72403512901
CAN,2021-01-01 00:00:00.000,52669.0899632316
CAF,2021-01-01 00:00:00.000,525.86754317732
TCD,2021-01-01 00:00:00.000,969.616214938776
CHL,2021-01-01 00:00:00.000,15406.4929435446
CHN,2021-01-01 00:00:00.000,6300.61511825789
COL,2021-01-01 00:00:00.000,8101.82909177914
COM,2021-01-01 00:00:00.000,1483.95137964493
COD,2021-01-01 00:00:00.000,412.776268166757
COG,2021-01-01 00:00:00.000,3753.86120747571
CRI,2021-01-01 00:00:00.000,9971.65090241867
CIV,2021-01-01 00:00:00.000,1649.30173900093
HRV,2021-01-01 00:00:00.000,13443.1352298628
CUB,2021-01-01 00:00:00.000,6467.33791422804
CYP,2021-01-01 00:00:00.000,28993.349609375
CZE,2021-01-01 00:00:00.000,19870.8012123403
DNK,2021-01-01 00:00:00.000,58507.5080517852
DJI,2021-01-01 00:00:00.000,1418.46085811933
DMA,2021-01-01 00:00:00.000,7054.87597689432
DOM,2021-01-01 00:00:00.000,6049.47174094956
ECU,2021-01-01 00:00:00.000,5678.45572070003
EGY,2021-01-01 00:00:00.000,3059.13542779204
SLV,2021-01-01 00:00:00.000,3471.05126865498
GNQ,2021-01-01 00:00:00.000,18756.4264233373
ERI,2021-01-01 00:00:00.000,
EST,2021-01-01 00:00:00.000,17403.2053254767
SWZ,2021-01-01 00:00:00.000,4396.56251946722
ETH,2021-01-01 00:00:00.000,458.550920793057
FJI,2021-01-01 00:00:00.000,4359.77534993306
FIN,2021-01-01 00:00:00.000,47708.0612784469
FRA,2021-01-01 00:00:00.000,40870.8523645734
GAB,2021-01-01 00:00:00.000,9348.5155721976
GMB,2021-01-01 00:00:00.000,686.558285433815
GEO,2021-01-01 00:00:00.000,4421.81824228013
